lemma,pos,gender,meta_ID,sense_source,sense_target,semantic_relationship
малявка,noun,,,Очень маленькая рыбка.,"То же, что малек.",broader
малявка,noun,,,О человекемаленького роста или о ребенке.,О ребенке или человеке маленького роста.,exact
бзик,noun,,,"Странность, причуда.","Странность, причуда.",exact
максимальный,adjective,,,"Наибольший в ряду других, предельный.","Самый большой, наибольший в ряду других, предельный.",exact
прятать,verb,,,"Убирать, помещать вскрытое, неизвестное другим место или под запор; вообще убирать в надежное, место для сохранности.","Помещать в тайное место, укрытие, чтобы другие не могли найти, заметить.",broader
прятать,verb,,,"Убирать, помещать вскрытое, неизвестное другим место или под запор; вообще убирать в надежное, место для сохранности.","Помещать, класть куда-л. для сохранности, предохранения от чего-л.",broader
религия,noun,,,"Одна из форм общественного сознания – совокупность духовных представлений, основывающихся на вере в сверхъестественные силы и существа (богов, духов), к-рые являются предметом поклонения.","Мировоззрение, несовместимое с научным миропониманием, основанное на вере в существование бога, сверхъестественных сил, управляющих миром.",exact
религия,noun,,,"Одно из направлений такого общественного сознания. Мировые религии (буддизм, ислам, христианство).",Та или иная вера; вероисповедание.,exact
религия,noun,,,"Сложившиеся непоколебимые убеждения, безусловная преданность какой-н. идее, принципу, нравственному закону, ценности.","То, чему поклоняются, во что слепо верят.",related
щи,noun,,,"Жидкое кушанье, род супа из капусты или щавеля, шпината.","Жидкое кушанье из рубленой капусты, а также из щавеля, шпината и т. п.",exact
завтра,adverb,,,На следующий день после сегодняшнего.,На следующий день после сегодняшнего.,exact
завтра,adverb,,,В недалеком будущем.," В недалеком будущем, скоро.",exact
фаянс,noun,,,"Мелкопористый, обычно белый керамический материал, по составу напоминающий фарфор.","Искусственно приготовляемая минеральная масса из особых сортов глины с примесью гипса и других веществ, идущая на керамические изделия.",exact
фаянс,noun,,,"Изделия, посуда из такого материала.","Изделия из такой массы, обожженные и докрытые глазурью.",exact
ряса,noun,,,У православного духовенства: верхняя длинная одежда с широкими рукавами.,Верхняя длинная одежда в талию с широкими рукавами у православного духовенства.,exact
разлить,verb,,,Налить из большого сосуда в меньшие.,Перелить какую-л. жидкость из одного сосуда в несколько других.,narrower
разлить,verb,,,Расплескать по поверхности чего-н.,"Расплескать, пролить какую-л. жидкость.",exact
разлить,verb,,,"Распространить во все стороны, по всему пространству чего-н.","Распространить во все стороны, по всему пространству чего-л., в пределах чего-л.",exact
хват,noun,,,"Бойкий, полный молодечества человек.","Бойкий, ловкий, удалой человек.",exact
хват,noun,,,"То же, что ловкач.","Бойкий, ловкий, удалой человек.",related
увал,noun,,,Узкая и удлиненная возвышенность с пологими склонами и плоской вершиной.,Вытянутая в длину возвышенность с пологими склонами.,exact
йога,noun,,,"В Индии: религиозно-философское учение, разработавшее особую систему приемов и методов самопознания, позволяющего человеку управлять психическими и физиологическими функциями своего организма.","Учение о приемах и методах управления психикой и психофизиологией человека, лежащее в основе древнеиндийских религиозно-философских систем.",exact
разве,conjunction,,,"Выражает допущение, возможность.","Употребляется в сочетании со словами „только“, „лишь“, „кроме“ и т. п. и без них для выражения ограничения с оттенком уступительности, в значении:не считая того, что…;кроме того, что…;может быть, только…",exact
разве,conjunction,,,"В случае, если не, если только не.","Употребляется для выражения противопоставления с оттенком условности, в значении:если не…;если только не…",exact
погожий,adjective,,,"Хороший, благоприятный в отношении погоды.","Хороший, благоприятный в отношении погоды.",exact
шаман,noun,,,"У нек-рых народов, сохраняющих веру в духов и в возможность ритуального общения с ними: служитель культа; колдун-знахарь, способный приводить себя в состояние экстаза.","Служитель культа, согласно верованиям народов с древним анимистическим мировоззрением, вступающий в общение с духами с целью ограждения людей от их козней и причиняемых ими болезней.",exact
акцент,noun,,,"Ударение в слове, а также знак ударения.",Ударение в слове.,broader
акцент,noun,,,"Ударение в слове, а также знак ударения.", Знак ударения.,broader
акцент,noun,,,"Особенности выговора, свойственные говорящему не на своем родном языке.","Невольное искажение звуков какого-л. языка лицом, для которого этот язык не является родным.",exact
разве,particle,,,"Употр. при вопросе, выражая сомнение, недоверие, так ли, правда ли.","Употребляется в вопросительном предложении, выражающем сомнение в чем-л., недоверие к чему-л., удивление по поводу чего-л., близка по значению словам:неужели,возможно ли, что…",broader
разве,particle,,,"Употр. при вопросе, выражая сомнение, недоверие, так ли, правда ли.","Употребляется в вопросительном предложении для выражения неуверенности в необходимости какого-л. действия, колебания по поводу чего-л., близка по значению словам:может быть,не сто́ит ли,не следует ли.",broader
разве,particle,,,"Выражает колебание и неуверенную готовность решиться, согласиться.","Употребляется в вопросительном предложении для выражения неуверенности в необходимости какого-л. действия, колебания по поводу чего-л., близка по значению словам:может быть,не сто́ит ли,не следует ли.",related
разве,particle,,,Выражение неуверенного предположения о чем-н. как единственно возможном.,"Употребляется для придания оттенка ограничения, предположения, возможности чего-л.",exact
институт,noun,,,Высшее учебное заведение.,Название некоторых высших учебных заведений и научно-исследовательских учреждений.,related
институт,noun,,,Научно-исследовательское учреждение.,Название некоторых высших учебных заведений и научно-исследовательских учреждений.,related
институт,noun,,,"Женское, обычно закрытое, среднее учебное заведение.",Привилегированное женское среднее учебное заведение закрытого типа в дореволюционной России.,broader
институт,noun,,,"Совокупность норм права в какой-н. области общественных отношений, та или иная форма общественного устройства.","Совокупность норм права в какой-л. области общественных отношений, та или иная форма общественного устройства.",exact
гибкий,adjective,,,"Легко сгибаемый, упругий.","Способный легко гнуться, сгибаться, изгибаться.",exact
гибкий,adjective,,,"Богатый оттенками, изменяющийся в своих проявлениях.","Способный легко изменяться, богатый оттенками, выразительный (о голосе, языке, стихе и т. п.).",exact
гибкий,adjective,,,"Легко поддающийся изменениям, преобразованиям.","Способный легко изменяться, богатый оттенками, выразительный (о голосе, языке, стихе и т. п.).",narrower
гибкий,adjective,,,"Способный трезво оценить обстановку, обстоятельства и приноровиться к ним.","Умело и быстро применяющийся к условиям, к обстоятельствам.",exact
нянчиться,verb,,,"То же, что нянчить.","То же, чтонянчить.",exact
нянчиться,verb,,,"Хлопотать, возиться с кем-чем-н.","Уделять кому-, чему-л. много времени, внимания; возиться.",exact
пятница,noun,,,Пятый день недели.,Пятый (после воскресенья) день недели.,exact
завтра,noun,,,"День, следующий за сегодняшним.",Следующий день за сегодняшним.,exact
завтра,noun,,,Недалекое будущее., Ближайшее будущее.,exact
даром,adverb,,,"То же, что бесплатно.","Бесплатно, безвозмездно.",exact
даром,adverb,,,"Бесполезно, напрасно.","Без пользы, напрасно, зря.",exact
оба,numeral,,,И тот и другой.,И тот и другой.,exact
жучить,verb,,,"Донимать выговорами, строгостью.","Постоянно поучать, делая выговоры, читая наставления.",related
аббатство,noun,,,Католический монастырь.,Католический монастырь с принадлежащими ему владениями.,narrower
абонемент,noun,,,"Документ, предоставляющий право на пользование чем-н., ка-кое-н. обслуживание, а также само такое право.","Право пользования чем-л. в течение определенного срока, а также документ, удостоверяющий это право.",exact
абрикосовый,adjective,,,см. абрикос.,Прил. к абрикос.,exact
ага,interjection,,,Восклицание с торжествующей интонацией.,"Выражает злорадство, торжество, замешательство и т. п.",related
ага,particle,,,"Выражает подтверждение, а также уяснение или догадку(прост.).","Употребляется для выражения согласия, подтверждения; соответствует по значению словам: да, хорошо, так.",broader
агу,interjection,,,"Ласковое слово, обращаемое к младенцу.","Употребляется при обращении к грудному ребенку с целью привлечь его внимание, успокоить и т. п.",related
азбука,noun,,,"Совокупность букв, принятых в данной письменности, располагаемых в установленном порядке, буквенный алфавит.","Совокупность букв какой-л. письменности, расположенных в установленном порядке; алфавит.",exact
азбука,noun,,,"Тоже, что букварь (устар.).",Книга для начального обучения грамоте; букварь.,exact
азбука,noun,,,"Основные, простейшие начала какой-н. науки, дела.","Основные начала, простейшие положения, основа чего-л.",exact
альбом,noun,,,"Тетрадь из плотных листов в переплете для рисунков, каких-н. коллекции, фотографии.","Тетрадь или книга с чистыми листами для стихов, рисунков, фотографий, открыток и т. п.",exact
альбом,noun,,,"Собрание рисунков, репродукций, чертежей в виде книги, папки.","Объединенное по теме собрание иллюстраций, рисунков, репродукций, чертежей и т. п., переплетенных вместе или собранных в папку.",broader
анафема,noun,,,"В христианстве: церковное проклятие за грехи против церкви, за поношение веры.","Отлучение от церкви, проклятие.",exact
анафема,noun,,,Употр. как бранное слово (прост.),Употребляется как бранное слово.,exact
антресоли,noun,,,Верхний полуэтаж дома.,Верхний низкий этаж (полуэтаж) дома.,exact
антресоли,noun,,,Род балкона внутри высокого помещения.,"Верхний полуярус в виде открытой галереи с перилами, сооружавшийся в особенно высоких комнатах.",exact
антресоли,noun,,,"Настил под потолком для хранения вещей, а также отдельная верхняя часть шкафа, предназначенная для такого хранения.",Настил под потолком для хранения вещей.,broader
апостол,noun,,,"В христианстве: ученик Христа, несущий людям его учение.","По евангельскому преданию — каждый из двенадцати учеников Христа, посланных им для проповеди своего учения.",broader
апостол,noun,,,Последователь и распространитель какой-н. идеи (книжн.).,"Ревностный последователь и распространитель какой-л. идеи, учения и т. п.",exact
апостол,noun,,,"Богослужебная книга, содержащая ""Деяния"" и ""Послания апостолов"".","Церковная книга, содержащая так наз. «Деяния» и «Послания апостолов».",exact
аппарат,noun,,,"Прибор, техническое устройство, приспособление.","Прибор, механическое устройство для выполнения какой-л. определенной работы.",exact
аппарат,noun,,,"Совокупность органов, выполняющих какую-н. особую функцию организма (спец.).","Совокупность органов, выполняющих какую-л. особую функцию организма.",exact
аппарат,noun,,,"Совокупность учреждений, обслуживающих какую-н. отрасль управления, хозяйства.","Совокупность учреждений, обслуживающих какую-л. область управления или хозяйства.",exact
аппарат,noun,,,"Совокупность сотрудников учреждения, организации, какой-н. области управления.","  Совокупность сотрудников учреждения, организации, какой-л. области управления.",exact
аргументировать,verb,,,"Привести(-водить) доказательства, аргументы (в 1 знач.)","Привести (приводить) аргументы (в 1 знач.), доказательства.",exact
армия,noun,,,Вооруженные силы государства.,"Совокупность вооруженных сил государства (сухопутных, морских, воздушных).",exact
армия,noun,,,Сухопутные вооруженные силы в отличие от морских и воздушных сил.,Сухопутные вооруженные силы (в отличие от военно-морских и военно-воздушных сил).,exact
армия,noun,,,"Оперативное войсковое объединение из нескольких корпусов, дивизий.","Соединение из нескольких корпусов или дивизий одного или нескольких родов войск, предназначенное для ведения военных операций.",narrower
армия,noun,,,В дореволюционной России: обычные сухопутные войска в отличие от гвардии.,"В дореволюционной России: основная масса сухопутных войск, в отличие от гвардии не имевшая служебных привилегий.",exact
армия,noun,,,Вообще - совокупность большого количества чем-то объединенных людей.,"Большое количество людей, объединенных каким-л. общим делом, признаком.",exact
архив,noun,,,"Учреждение для хранения старых, старинных документов, документальных материалов.","Учреждение, специально занятое хранением, систематизацией и описанием письменных и графических памятников прошлого.",exact
архив,noun,,,"Отдел учреждения, где хранятся старые документы.","Отдел учреждения, где хранятся старые документы, оконченные дела и т. п.",exact
архив,noun,,,"Собрание рукописей, писем ит. п., относящихся к деятельности какого-н. учреждения, лица.","Собрание писем, рукописей, документов, фотографий и т. п., относящихся к деятельности какого-л. учреждения, общества, лица.",exact
асфальт,noun,,,"Черная смолистая масса, употр. для заливки покрытий дорог, улиц, тротуаров.","Природная и искусственная буро-черная смолистая масса, используемая при устройстве дорог, тротуаров и в некоторых отраслях промышленности.",exact
асфальт,noun,,,"Дорога, покрытая такой массой.","Дорога, тротуар, покрытые такой массой.",exact
аттестат,noun,,,"Официальный документ об окончании учебного заведения, о присвоении звания.",Официальный документ об окончании учебного заведения.,broader
аттестат,noun,,,В дореволюционной России: свидетельство о прохождении службы.,  Свидетельство о присвоении ученого или специального звания.,broader
аттестат,noun,,,"Рекомендация с места прежней службы, работы (устар.).","В дореволюционной России: свидетельство о прохождении службы, выдававшееся при отставке.",related
аттестат,noun,,,Выдаваемый военнослужащему документ на право получения денежного или другого довольствия.,"Документ, удостоверяющий право на получение военнослужащим денежного, вещевого и другого довольствия, а также документ, по которому иждивенец военнослужащего получает часть его денежного довольствия.",narrower
аттестат,noun,,,"Документ, удостоверяющий породистость животного.","Документ, удостоверяющий породистость животного.",exact
ахнуть,verb,,,см. ахать.,"Воскликнуть „ах“, выражая какое-л. чувство: удивление, восторг, печаль, сожаление и т. п.",exact
ахнуть,verb,,,Издать резкий и громкий звук.,"Произвести, издать громкий, сильный, отрывистый звук (при ударе, разрыве, выстреле).",exact
ахнуть,verb,,,"Произвести какое-н. действие резко, с шумом, внезапно.",С силой ударить.,broader
ахти,interjection,,,"То же, что ах (в 1 знач.).","Употребляется при выражении сильной тревоги, сожаления, удивления.",exact
аэродром,noun,,,"Комплекс сооружений и технических средств, предназначенный для взлета, посадки, стоянки и обслуживания самолетов, вертолетов и планеров.","Участок земной поверхности, предназначенный для взлета, посадки и стоянки самолетов, с сооружениями и оборудованием для их обслуживания.",broader
баба-яга,noun,,,В русских сказках: злая старуха-колдунья.,В русских народных сказках: злая старуха-колдунья.,exact
бабка1,noun,,,"То же, что бабушка.","То же, что бабушка.",exact
бабка1,noun,,,"То же, что повивальная бабка(устар.).","То же, что повивальная бабка.",exact
бабка2,noun,,,У животных: надкопытный сустав ноги.,Надкопытный сустав ноги у животных.,exact
бабка2,noun,,,"Кость этого сустава, употр. для игры.","  Кость этого сустава, употребляемая для игры.",exact
бабочка,noun,,,"Насекомое с двумя парами крыльев разнообразной окраски, покрытых мельчайшими чешуйками.","Насекомое с двумя парами крыльев, покрытых пыльцой, определяющей их окраску.",exact
бабочка,noun,,,"Галстук в виде короткого жесткого банта, по форме напоминающего бабочку.",Галстук в виде банта.,exact
больной,adjective,,,Пораженный какой-н. болезнью.,Страдающий какой-л. болезнью; противоп. здоровый.,exact
больной,adjective,,,Свидетельствующий о наличии болезни.,Свидетельствующий о болезни; болезненный.,exact
больной,adjective,,,"То же, что болезненный (во 2 знач.).","Неестественный, ненормальный.",exact
больно2,adverb,,,"То же, что очень.","Очень, весьма, сильно.",exact
борода,noun,,,Волосяной покров на нижней части лица у мужчин.,Волосяной покров на нижней части лица.,exact
борода,noun,,,"У нек-рых животных: пучок волос, перьев или мясистые отростки под лицевой частью головы.",У некоторых животных и птиц: пучок длинных волос или перьев у шеи и на груди.,exact
боронить,verb,,,Разрыхлять бороной.,"Разрыхлять, обрабатывать бороной вспаханную землю.",exact
босой,adjective,,,"Необутый, с голыми ногами.","Необутый, без обуви и чулок.",exact
вброд,adverb,,,"По броду, по дну в мелком месте, не вплавь.","Бредя, двигаясь по дну реки, озера и т. п. в неглубоком месте.",exact
ведомость,noun,,,"Сводка, список каких-н. данных.","Список, сводка каких-л. фактических данных.",exact
ведомость,noun,,,Название нек-рых повременных изданий.,В составе названий некоторых повременных изданий.,related
ведомство,noun,,,"Учреждение или совокупность учреждений, обслуживающих какую-н. область государственного управления.",Отрасль государственного управления и система обслуживающих ее учреждений.,exact
ведро,noun,,,"Сосуд, обычно цилиндрической формы, с ручкой в виде дужки для жидкостей, сыпучего.","Сосуд, обычно цилиндрической формы, с дугообразной ручкой для ношения и хранения воды и других жидкостей.",exact
ведро,noun,,,"Старая русская мера жидкостей, равная 1/40 бочки (12 литров).","Русская мера жидкостей, равная 1/40 бочки (около 12 л), применявшаяся до введения метрической системы.",exact
везде,adverb,,,"Во всех местах, повсюду.","Во всех местах или во всех сферах, областях; всюду, повсюду.",exact
величавый,adjective,,,"Исполненный внутреннего достоинства, величия, внушающий почтение к себе.",Исполненный торжественности; величественный.,broader
видеться,verb,,,"Быть видимым, представляться взору.",Восприниматься зрением; быть видимым.,exact
видеться,verb,,,"Видеть друг друга, встречаться.","Встречаться, иметь свидание.",exact
видеться,verb,,,Представляться воображению.,"  (сов. привидеться) кому-чему. Мысленно представляться, грезиться.",exact
вода,noun,,,"Прозрачная бесцветная жидкость, представляющая собой химическое соединение водорода и кислорода.","Прозрачная, бесцветная жидкость, образующая ручьи, реки, озера, моря и представляющая собой химическое соединение водорода с кислородом.",exact
вода,noun,,,В нек-рых сочетаниях: напиток или настой.,"  Напиток или водный раствор какого-л. вещества, применяемый для утоления жажды, а также в лечебных или иных целях.",exact
вода,noun,,,"Речное, морское, озерное пространство, а также их поверхность или уровень.","  мн. ч. (во́ды, вод). Водные пространства, участки морей, озер, рек.",broader
вода,noun,,,"Потоки, струи, волны, водная масса.","Водная масса реки, озера, моря.",related
вода,noun,,,"Минеральные источники, курорт с такими источниками.",Минеральные источники.,broader
вода,noun,,,О чем-н. бессодержательном и многословном(разг.).,"  перен.; преимущ. в знач. сказ. Пустые, бессодержательные фразы, многословие при бедности содержания.",exact
вода,noun,,,"Питательная жидкость, заполняющая защитную оболочку плода (спец.).","То же, что околоплодные воды",exact
врачебный,adjective,,,"Относящийся к деятельности врача, к лечению больных.",Связанный с деятельностью врача; медицинский.,exact
даже,particle,,,"Употр. для выделения той части сообщения, к-рая его подтверждает, приводя дополнительные аргументы или еще более вескую информацию.","Употребляется для выделения и усиления слова или словосочетания, к которому относится (ставится обычно перед выделяемыми словами).",exact
даже,interjection,,,"Присоединяет предложение или член предложения со знач. уточнения, добавления.","Присоединяет члены предложения или предложения, обозначающие результат особенно напряженного, усиленного действия или какой-л. признак как показатель самой высокой степени чего-л.; соответствует по значению словам: настолько, так (сильно, долго, много и т. п.), что…",related
двуличный,adjective,,,"Лицемерный, неискренний.","Лицемерный, неискренний.",exact
ей-богу,interjection,,,"Уверение в знач. действительно, истинная правда.","Употребляется для подтверждения чего-л., для уверения в чем-л.; близко по значению словам: в самом деле, право, действительно.",exact
епархия,noun,,,"Церковно-административная территориальная единица, управляемая архиереем.","Церковно-административный округ, находящийся под управлением епископа.",exact
ерунда,noun,,,"Вздор, пустяки, нелепость.","Что-л. несерьезное, пустое; вздор, чепуха.",exact
ерунда,noun,,,"О чем-н. несущественном, незначительном.","  О чем-л. несущественном, маловажном.",exact
загодя,adverb,,,"Заранее, заблаговременно.","Заранее, заблаговременно.",exact
завал,noun,,,"см. завалить, -ся. (Засыпать сверху, покрыть. + Обрушить, накренить.)","Нагромождение, скопление больших количеств чего-л.",related
завал,noun,,,"Нагромождение, скопление чего-н., препятствующее проходу, проезду.","  Препятствие, устроенное из нагроможденных, наваленных друг на друга деревьев, бревен, камней и т. п.",exact
завал,noun,,,Беспорядочное скопление чего-н. (разг.).,"  перен. Разг. Чрезмерное скопление каких-л. материалов, дел и т. п.",exact
зритель,noun,,,"Тот, кто наблюдает происходящее со стороны (устар.)","Тот, кто смотрит на что-л., наблюдает за чем-л.",exact
зритель,noun,,,"Тот, кто смотрит представление, фильм, спортивное состязание.","Тот, кто смотрит сценическое или экранизированное представление.",broader
зычный,adjective,,,"Громкий, звучный и резкий.","Громкий, звонкий, резкий.",exact
ибо,conjunction,,,"Потому что, так как.","Употребляется в придаточном причинном предложении, соответствует по значению союзам: потому что, так как.",exact
имение,noun,,,"Поместье, земельное владение.","Земельное владение помещика, обычно с усадьбой; поместье.",exact
имение,noun,,,"Имущество, собственность (устар.).","Имущество, собственность.",exact
итого,adverb,,,"В общей сумме, в итоге (после подсчета, перечисления каких-н. величин).","В итоге, всего (употребляется в конце перечисления каких-л. сумм).",exact
итак,conjunction,,,"Следовательно, таким образом.","Употребляется в начале предложения, содержащего вывод из предыдущего, близок по значению словам: таким образом, следовательно.",exact
каллиграф,noun,,,"Человек, искусный в каллиграфии.","Тот, кто пишет красиво и четко.",exact
кожа,noun,,,"Наружный покров тела человека, животного.",Наружный покров тела человека и животных.,exact
кожа,noun,,,Выделанная шкура животного.,Выделанная шкура животного.,exact
кожа,noun,,,"Оболочка нек-рых плодов, кожура (разг.).","Внешняя оболочка плода, семени; кожура.",exact
конечный,adjective,,,см. конец.,"Имеющий конец, предел (в пространстве, во времени); противоп. бесконечный.",broader
конечный,adjective,,,"Имеющий конец (во времени), не бесконечный (высок.).","Имеющий конец, предел (в пространстве, во времени); противоп. бесконечный.",narrower
конечный,adjective,,,"Заключающий собой какой-н. процесс, являющийся результатом работы, обработки.","Являющийся завершением какого-л. процесса, цикла и т. д.",exact
люстра,noun,,,Висячий светильник из нескольких подсвечников для ламп.,Подвесной осветительный прибор из нескольких светильников (подсвечников со свечами или ламп).,exact
