lemma,pos,gender,meta_ID,sense_source,sense_target,semantic_relationship
полотнище,noun,,,"То же, что полотно (во 2 и 5 знач.).","Плоская, тонкая часть какого-л. инструмента, орудия.",broader
полоть,verb,,,"Очищать от сорных растений, а также удалять их откуда-н.","Вырывая, выдергивая сорные травы, очищать (огород, гряды и т. п.).",broader
полоть,verb,,,"Очищать от сорных растений, а также удалять их откуда-н.","|| (несов. выполоть). Вырывать, выдергивать (сорные травы, ненужные растения).",broader
парад,noun,,,"Торжественное прохождение войск (кораблей, самолетов),а также спортсменов.",Торжественное прохождение войск по случаю каких-л. торжеств.,broader
парад,noun,,,"То же, что парадность(разг. шутл.).","|| Торжественность, пышность.",exact
пансионат,noun,,,Гостиница с полным содержанием для живущих в ней.,Род гостиницы для отдыхающих.,related
панорама,noun,,,"Вид(во 2 знач.), открывающийся с высоты, с открытого места.","Широкий вид какой-л. местности, открывающийся с высоты, с возвышенности.",exact
панорама,noun,,,"Вид(во 2 знач.), открывающийся с высоты, с открытого места.",|| Зрелище чего-л. происходящего на широком пространстве.,related
панорама,noun,,,"Больших размеров картина с объемными предметами(макетами) на переднем плане, обычно занимающая стены круглого, с верхним светом здания.","Громадная картина с объемным первым планом, обычно помещаемая по стене круглого здания с верхним светом.",exact
панорама,noun,,,В артиллерийских орудиях и реактивных установках: визирный и угломерный оптический прибор (спец.).,Оптический угломерный прибор для увеличения точности наводки орудия.,exact
пересечь,verb,,,"Перейти через что-н., поперек чего-н.","Перейти, переехать что-л. поперек.",exact
пересечь,verb,,,Пройти по поверхности чего-н. от одного края к другому. Область пересекут две железные дороги.,"|| Расположиться, пройти по поверхности чего-л. от одного края к другому; перере́зать.",exact
пересечь,verb,,,"То же, что преградить (в 1 знач.).","Преградить, перерезать (путь, дорогу).",exact
поганый,adjective,,,"Не употребляемый в пищу вследствие ядовитости, нечистоты.","Не употребляемый в пищу, несъедобный.",exact
поганый,adjective,,,"Нечистый с религиозной точки зрения[первонач. нехристианский, языческий] (устар.).","|| Запретный, нечистый с религиозной точки зрения.",exact
поганый,adjective,,,"Предназначенный для отбросов, нечистот (разг).","Предназначенный для отбросов, нечистот.",exact
поганый,adjective,,,"Очень плохой, отвратительный (прост.).","Мерзкий, отвратительный, скверный.",exact
поганый,adjective,,,"Очень плохой, отвратительный (прост.).","|| Плохого качества, дрянной.",related
поганый,adjective,,,"Нечистый с религиозной точки зрения[первонач. нехристианский, языческий] (устар.).",Нехристианский.,broader
поганка,noun,,,"Несъедобный, ядовитый гриб.",Несъедобный гриб.,exact
позор,noun,,,"Бесчестье, постыдное, унизительное положение.","Постыдное, унизительное для кого-л. положение, вызывающее презрение; бесчестье.",exact
позорище,noun,,,"Позорное явление, позор.","Позорное явление, позор.",exact
полный,adjective,,,"Содержащий в себе что-н. до возможных пределов, наполненный, занятый чем-н. целиком.","Наполненный чем-л. доверху, до краев.",exact
полный,adjective,,,"Содержащий в себе что-н. до возможных пределов, наполненный, занятый чем-н. целиком.","Содержащий в себе, вместивший в себя предельное количество, много людей или чего-л.",broader
полный,adjective,,,"Целиком проникнутый, охваченный чем-н.","Целиком проникнутый, охваченный, заполненный чем-л.",exact
полный,adjective,,,"Целиком проникнутый, охваченный чем-н.","|| чего. Ярко выражающий какое-л. чувство, переживание (о глазах, взоре и т. п.).",broader
полный,adjective,,,"Целиком проникнутый, охваченный чем-н.","|| кем-чем. Всецело увлеченный, захваченный кем-, чем-л.",broader
полный,adjective,,,"Цельный, вполне законченный; исчерпывающий.","Взятый во всем объеме, во всю величину; целый, весь.",exact
полный,adjective,,,"Цельный, вполне законченный; исчерпывающий.","|| Включающий все необходимые составные части, без изъятий.",broader
полный,adjective,,,"Цельный, вполне законченный; исчерпывающий.",|| Исчерпывающий.,broader
полный,adjective,,,"Цельный, вполне законченный; исчерпывающий.","|| Завершенный, доведенный до конца.",broader
полный,adjective,,,"Достигающий предела, наивысший.","Достигший высшего развития, предела.",exact
полный,adjective,,,"Достигающий предела, наивысший.","|| Наивысший, максимальный, предельный (о скорости, силе и т. п.).",broader
полный,adjective,,,"Достигающий предела, наивысший.","|| Не ослабленный, во всю силу (о голосе, памяти и т. п.).",broader
полный,adjective,,,"О человеке: толстый, тучный.","Упитанный, в меру толстый; противоп. худой.",related
порог,noun,,,"Поперечный брусок, закрывающий проем между дверью и полом.",Брус на полу под дверью (обычно деревянный).,exact
порог,noun,,,"Преддверие, граница чего-н. (книжн.).","Преддверие, начало чего-л., рубеж.",exact
порог,noun,,,"Каменистое возвышение речного дна, ускоряющее течение и затрудняющее судоходство.","Каменистое поперечное возвышение дна реки, нарушающее плавность ее течения.",exact
порог,noun,,,"Наименьшая возможная величина, граница проявления чего-н. (спец.)","Наименьшая величина, степень проявления чего-л.",exact
причина,noun,,,"Явление, вызывающее, обусловливающее возникновение другого явления.","Явление, обстоятельство, непосредственно порождающее, обусловливающее другое явление — следствие.",exact
причина,noun,,,"Основание, предлог для каких-н. действий.","Основание, повод, предлог для каких-л. действий, поступков.",exact
процесс,noun,,,"Ход, развитие какого-н. явления, последовательная смена состояний в развитии чего-н.","Последовательная смена каких-л. явлений, состояний и т. п., ход развития чего-л.",exact
процесс,noun,,,Развивающаяся болезнь.,Развивающееся болезненное состояние.,exact
процесс,noun,,,"Порядок разбирательства судебных и административных дел, а также само такое дело.",Порядок разбирательства судебных дел; судопроизводство.,broader
процесс,noun,,,"Порядок разбирательства судебных и административных дел, а также само такое дело.",|| Разбор дела судом.,broader
проявить,verb,,,"Совершая, делая что-н., обнаружить наличие каких-н. качеств, свойств.","Обнаружить, выявить какое-л. свое свойство или состояние.",exact
проявить,verb,,,Обработать проявителем.,"Химической обработкой превратить скрытое изображение на пленке, пластинке в видимое.",exact
пустой,adjective,,,"Ничем незаполненный, полый внутри, лишенный содержимого.",Ничем не заполненный (о каком-л. вместилище).,broader
пустой,adjective,,,"Ничем незаполненный, полый внутри, лишенный содержимого.",|| Полый внутри.,broader
пустой,adjective,,,"Ничем незаполненный, полый внутри, лишенный содержимого.","|| Не занятый кем-, чем-л., обычно находящимся в нем или на нем.",broader
пустой,adjective,,,"Ничем незаполненный, полый внутри, лишенный содержимого.","|| Разг. Свободный от занятий, дел и т. п.",broader
пустой,adjective,,,"Ничем незаполненный, полый внутри, лишенный содержимого.","|| Разг. Ничем не заправленный, не сдобренный (о пище).",broader
пустой,adjective,,,"Бессодержательный, неосновательный, несерьезный.","Неосновательный, лишенный серьезного значения.",exact
пустой,adjective,,,"Бессодержательный, неосновательный, несерьезный.","|| Бесполезный, бесплодный.",broader
пустой,adjective,,,"Бессодержательный, неосновательный, несерьезный.",|| Бессодержательный.,broader
раз,noun,,,"Обозначение однократного действия (при подсчете, указании на количество).",В сочетании с числительным „один“ или без него указывает на однократность какого-л. действия.,exact
раз,noun,,,"Обозначение однократного действия (при подсчете, указании на количество).",|| В сочетании с прочими количественными числительными и количественными словами указывает на повторяемость действия.,broader
раз,noun,,,"Случай, явление в ряду однородных (повторяющихся или возможных) действий, проявлений чего-н.","В сочетании с прилагательными, числительными или указательными местоимениями указывает место данного действия, случая и т. п. в ряду других повторяющихся действий, случаев и т. п.",exact
раб,noun,,,"В рабовладельческом обществе: человек, лишенный всех прав и средств производства и являющийся полной собственностью владельца, распоряжающегося его трудом и жизнью.","Человек, лишенный средств производства и являющийся полной собственностью своего господина — рабовладельца, представитель угнетенного класса при рабовладельческом строе.",exact
раб,noun,,,"В рабовладельческом обществе: человек, лишенный всех прав и средств производства и являющийся полной собственностью владельца, распоряжающегося его трудом и жизнью.","|| Тот, кто является частной собственностью другого, имеющего право на его личность, труд и имущество; крепостной.",broader
раб,noun,,,"Зависимый, угнетенный человек.","|| Тот, кто зависит от другого, кто лишен свободы действий в силу экономической эксплуатации, политической зависимости и т. п.",broader
раб,noun,,,"Человек, к-рый целиком подчинил кому-чему-н. себя, свою волю, поступки (книжн.).","Тот, кто целиком подчинил чему-л. свою волю, свои поступки.",exact
работа,noun,,,"Занятие, труд, деятельность.","Действие по знач. глаг. работать; деятельность, занятие, труд.",exact
работа,noun,,,"Занятие, труд, деятельность.","Та или иная деятельность по созданию, изготовлению, обработке чего-л.",related
работа,noun,,,"Служба, занятие как источник заработка.","Служба, занятие, труд на каком-л. предприятии, в каком-л. учреждении.",exact
работа,noun,,,"Служба, занятие как источник заработка.",|| Место службы.,broader
работа,noun,,,"Материал, подлежащий обработке, находящийся в процессе изготовления.","То, что подлежит обработке, находится в процессе изготовления.",exact
работа,noun,,,"Продукт труда, готовое изделие.","Продукт труда, изделие, произведение.",exact
работа,noun,,,"Качество, способ исполнения.","Качество или какой-л. способ, манера исполнения, изготовления.",exact
работа,noun,,,Процесс превращения одного вида энергии в другой (спец.); вообще нахождение в действии.,"Мера действия силы на тело, перемещаемое этой силой по определенному пути.",related
рабочий,adjective,,,"Относящийся к рабочим1, состоящий из рабочих1, принадлежащий, свойственный им.","Относящийся к рабочим1, принадлежащий рабочим, находящийся в руках рабочих, выражающий интересы рабочих.",exact
рабочий,adjective,,,"Относящийся к рабочим1, состоящий из рабочих1, принадлежащий, свойственный им.",|| Состоящий из рабочих.,broader
рабочий,adjective,,,Живущий своим трудом (разг.).,"Работающий, живущий своим трудом.",exact
рабочий,adjective,,,"Непосредственно выполняющий работу, осуществляющий определенное действие, производящий полезную работу.","Работающий, производящий полезную работу (о животных).",related
рабочий,adjective,,,"Непосредственно выполняющий работу, осуществляющий определенное действие, производящий полезную работу.","Производящий полезную работу, полезное действие (о механизме, части механизма).",related
рабочий,adjective,,,"Непосредственно выполняющий работу, осуществляющий определенное действие, производящий полезную работу.","|| Связанный с полезной работой механизма, части механизма.",related
рабочий,adjective,,,"Предназначенный для работы, используемый в какой-н.,работе.","Относящийся к работе (в 1 знач.), связанный с ней.",broader
рабочий,adjective,,,"Предназначенный для работы, используемый в какой-н.,работе.","|| Отведенный, предназначенный для работы.",broader
рабочий,adjective,,,"Предназначенный для работы, используемый в какой-н.,работе.","Необходимый для работы (в 1 знач.), являющийся вспомогательным средством при работе, используемый в работе.",broader
рабочий,adjective,,,Служащий непосредственным руководством для проведения работы.,|| Служащий непосредственным руководством для проведения работы.,exact
работать,verb,,,"Заниматься чем-н., применяя свой труд, осуществлять какую-н. деятельность.","Заниматься каким-л. делом, применяя свой труд; трудиться.",exact
работать,verb,,,"Заниматься чем-н., применяя свой труд, осуществлять какую-н. деятельность.","|| Быть занятым где-л. трудом, иметь где-л. какое-л. занятие, состоять где-л. на службе.",broader
работать,verb,,,"Иметь где-н. какое-н. постоянное занятие, должность, служить.","|| кем. Состоять в какой-л. должности, исполнять обязанности, выполнять труд кого-л.",exact
работать,verb,,,"Трудиться над чем-н., а также вообще находиться в действии, в работе.","Трудясь, создавать, совершенствовать или изучать что-л.",related
работать,verb,,,Обслуживать кого-что-н. своим трудом.,"Заниматься каким-л. трудом, обеспечивая или обслуживая кого-, что-л.",exact
работать,verb,,,Обслуживать кого-что-н. своим трудом.,"|| перен. Действовать в пользу кого-, чего-л., в чьих-л. интересах.",broader
работать,verb,,,"Приводить в действие, управлять чем-н.","Приводить что-л. в действие, управлять, действовать чем-л. (инструментом, орудием).",exact
работать,verb,,,"Приводить в действие, управлять чем-н.",|| Усиленно двигать чем-л. (какой-л. частью тела).,broader
работать,verb,,,"Приводить в действие, управлять чем-н.","|| с чем. В процессе труда пользоваться чем-л. как инструментом, пособием и т. п.",broader
работать,verb,,,"В нек-рых сочетаниях: действовать, быть в действии.","Находиться в действии, действовать (о механизмах, агрегатах, устройствах и т. п.).",exact
работать,verb,,,"В нек-рых сочетаниях: действовать, быть в действии.","|| на чем. Действовать тем или иным способом, с помощью тех или иных приспособлений, материалов и т. п.",broader
работать,verb,,,"В нек-рых сочетаниях: действовать, быть в действии.","|| Действовать, выполнять свое назначение (об органах тела).",broader
работать,verb,,,"Трудиться над чем-н., а также вообще находиться в действии, в работе.","Делать, изготовлять что-л.",related
сажать,verb,,,"Просить, заставлять или давать возможность сесть.","Помогать, предлагать или заставлять сесть.",exact
сажать,verb,,,"Просить, заставлять или давать возможность сесть.","|| Помогать занять место, расположиться где-л. для поездки.",broader
сажать,verb,,,"Принуждать к какому-н. длительному действию, занятию, состоянию.","Заставлять сесть за какое-л. дело, предлагать заняться чем-л.",exact
сажать,verb,,,"Принуждать к какому-н. длительному действию, занятию, состоянию.","|| обычно на что, кем-чем. Разг.Определять, назначать на какое-л. место, должность.",related
сажать,verb,,,Помещать куда-н. на длительное время.,"Помещать, заключать куда-л., лишая свободы, ограничивая возможности передвижения и т. п.",related
сажать,verb,,,"Принуждать к какому-н. длительному действию, занятию, состоянию.","|| на что. Разг. Заставлять придерживаться какого-л. режима, ограничивать чем-л.",related
сажать,verb,,,Закапывать корнями в землю или сеять для выращивания.,"Зарывать в землю корни саженцев, семена, клубни, луковицы и т. п. с целью выращивания растений.",exact
сажать,verb,,,Ставить в печь для выпечки.,"Помещать, ставить в печь, сушилку и т. п. (для выпекания, обжига, сушки и т. п.).",exact
сажать,verb,,,Наносить на поверхность или прикреплять к какой-н. поверхности (разг.).,"Располагая каким-л. образом, прилаживать, прикреплять, пришивать и т. д. к чему-л.",broader
сажать,verb,,,Наносить на поверхность или прикреплять к какой-н. поверхности (разг.).,"|| Наносить на какую-л. поверхность, оставлять какие-л. следы на чем-л.",broader
салон,noun,,,"Комната для приема гостей в богатом доме (устар.), а также общая гостиная в отеле.","Комната, помещение для приема гостей; гостиная.",broader
салон,noun,,,"Политический или литературно-художественный кружок из людей избранного круга, собирающийся в доме какого-н. частного лица (устар.).","Круг избранных лиц, собиравшихся в частном доме и объединенных общими интересами (литературными, художественными или политическими и т. д.).",exact
салон,noun,,,"Комната для приема гостей в богатом доме (устар.), а также общая гостиная в отеле.","Комната, помещение для отдыха на судне, в гостинице, пансионате и т. д.",broader
салон,noun,,,"Помещение для выставок, демонстрации товаров, а также магазин, где продаются художественно изготовленные товары, произведения искусства, или ателье, где работа выполняется художественно.","Зал, помещение для демонстрации и продажи художественных изделий, произведений искусства и т. п., а также некоторых промышленных товаров (одежды, мехов, аппаратов и т. д.).",exact
салон,noun,,,"Внутреннее помещение для пассажиров в автобусе, троллейбусе, самолете, а также зал ожидания в ателье, парикмахерской.","Внутреннее помещение для пассажиров в автобусе, троллейбусе, самолете и т. п.",exact
тёплый,adjective,,,"Нагретый, дающий или содержащий тепло.","Дающий, источающий тепло.",exact
тёплый,adjective,,,"Нагретый, дающий или содержащий тепло.","|| Слегка нагретый, с повышенной температурой.",broader
тёплый,adjective,,,"Не знающий морозов, южный (о климате, местности).","|| С повышенной температурой воздуха, без холодов (о погоде, времени года, суток).",exact
тёплый,adjective,,,Хорошо защищающий тело от холода.,Хорошо защищающий тело от холода.,exact
тёплый,adjective,,,Имеющий отопление.,|| Отапливаемый или утепленный.,narrower
тёплый,adjective,,,"Ласковый, приветливый.","Отличающийся внутренней теплотой, согревающий душу, ласковый, приветливый.",exact
тёплый,adjective,,,"Ласковый, приветливый.","|| Проникнутый добрым, любовным чувством по отношению к кому-, чему-л.",broader
тёплый,adjective,,,"Ласковый, приветливый.",|| Выражающий душевную теплоту.,broader
убийственный,adjective,,,"То же, что смертоносный (устар.).","Убивающий, причиняющий смерть; смертоносный.",exact
убийственный,adjective,,,"Вредный, тяжелый, крайне неприятный или губительный.","Крайне тяжелый, неприятный, имеющий дурные последствия или вредный, губительный.",exact
убийственный,adjective,,,"Вредный, тяжелый, крайне неприятный или губительный.",|| Разг. Невыносимо плохой.,broader
убийственный,adjective,,,"Крайний, чрезвычайный (о чем-н. неприятном, отрицательном) (разг.).","Чрезвычайный, необыкновенный по силе проявления, воздействия и т. п.",exact
учить,verb,,,"Передавать кому-н. какие-н. знания, навыки.","Передавать кому-л. какие-л. знания, навыки.",exact
учить,verb,,,"Передавать кому-н. какие-н. знания, навыки.","|| (сов. научить) чему или с неопр.Прививать кому-л., воспитывать в ком-л. какие-л. качества, навыки и т. п.",related
учить,verb,,,"Передавать кому-н. какие-н. знания, навыки.","|| (сов. научить). Обогащать опытом, знаниями, пониманием окружающего.",related
учить,verb,,,"Наставлять; передавать свой опыт, свои взгляды.","Наставлять, давать советы, указания.",exact
учить,verb,,,"Бить, наказывать (устар. прост.).",|| Разг. Наказывать.,exact
учить,verb,,,"Высказывать, обосновывать какую-н. мысль, положение.","Обосновывать, развивать (какую-л. мысль, теорию и т. п.).",exact
учить,verb,,,"Занимаясь, усваивать, запоминать.","Повторяя что-л., запоминать, усваивать.",exact
фальшивый,adjective,,,"Поддельный, ненастоящий.","Сделанный наподобие подлинного, натурального.",broader
фальшивый,adjective,,,"Поддельный, ненастоящий.","|| Представляющий собой подделку с целью обмана, мошенничества; поддельный.",broader
фальшивый,adjective,,,"Неестественный, неверный.","Искаженный при музыкальном, вокальном исполнении (о мелодии, звуках, ритме); неверный.",related
фальшивый,adjective,,,"Поддельный, ненастоящий.","Ложный, ненастоящий, не такой, какой должен быть в действительности.",related
фальшивый,adjective,,,"Неестественный, неверный.","|| Неестественный, ненатуральный.",related
фальшивый,adjective,,,"Неискренний, лицемерный.","Притворный, лицемерный, неискренний.",exact
художник,noun,,,"Человек, к-рый творчески работает в какой-н. области искусства.","Человек, создающий произведения изобразительного искусства (живописец, график, скульптор).",related
художник,noun,,,"То же, что живописец.","|| То же, что живописец.",exact
художник,noun,,,"Человек, к-рый творчески работает в какой-н. области искусства.","Тот, кто создает произведения искусства, творчески работает в области искусства.",exact
художник,noun,,,"Человек, к-рый выполняет что-н. с большим художественным вкусом, мастерством.","Тот, кто достиг высокого совершенства в какой-л. работе, кто проявил большой вкус и мастерство в чем-л.",exact
чай,noun,,,"Культивируемое вечнозеленое растение, высушенные и особо обработанные листья к-рого при заварке дают ароматный тонизирующий напиток.","Вечнозеленое дерево или кустарник сем. чайных, из высушенных листьев которого приготовляется ароматный напиток.",exact
чай,noun,,,"Высушенные, измельченные и специально обработанные листья такого растения.","Высушенные и особо обработанные листья этого растения, служащие для приготовления напитка.",exact
чай,noun,,,"Напиток, настоянный на таких листьях.","Ароматный напиток, настоянный на этих листьях.",exact
чай,noun,,,"Настой из заваренных сушеных листьев или плодов какого-н. растения, ягод.","|| Настой на каких-л. листьях, травах и т. п., заменяющий такой напиток.",exact
чай,noun,,,"То же, что чаепитие.",Чаепитие.,exact
широкий,adjective,,,"Имеющий большую ширину, большой в поперечнике; просторный.",Имеющий большую протяженность в поперечнике; противоп. узкий.,exact
широкий,adjective,,,"Имеющий большую ширину, большой в поперечнике; просторный.","Не стесняющий движений (об одежде); свободный, просторный.",related
широкий,adjective,,,"Слишком просторный, слишком большой по размеру.","|| только кратк. ф. Больший по ширине, чем требуется.",exact
широкий,adjective,,,"Имеющий большое протяжение, охватывающий большое пространство.","Занимающий большое пространство, обширный.",related
широкий,adjective,,,С большим размахом (во 2 знач.).,"Размашистый, свободный, крупный (о движениях рук, походке, шагах и т. п.).",related
широкий,adjective,,,"Не стеснённый в проявлении, в обнаружении чего-н., с размахом (в 4 знач.).","Отличающийся большим размахом в проявлении чего-л., ничем не стесненный.",exact
широкий,adjective,,,"Не стеснённый в проявлении, в обнаружении чего-н., с размахом (в 4 знач.).","|| Отличающийся большим размахом в деятельности, щедростью в проявлении чувств (о человеке).",broader
широкий,adjective,,,"Обширный, неограниченный, лишённый узости.","|| перен. Лишенный ограниченности, узости.",exact
широкий,adjective,,,С большим размахом (во 2 знач.).,"Большой по количеству, охвату, размаху и т. п.",related
широкий,adjective,,,"Охватывающий многое, многих, массовый.","Охватывающий многих, распространяющийся на многих; массовый.",exact
широкий,adjective,,,"Охватывающий многое, многих, массовый.","|| Известный, распространенный повсеместно, среди многих.",broader
широкий,adjective,,,"Охватывающий многое, многих, массовый.","|| Являющийся представителем многих людей, большинства людей.",broader
широкий,adjective,,,"Охватывающий многое, многих, массовый.","|| Предназначенный для многих, рассчитанный на многих, на массы.",broader
явление,noun,,,см. явиться.,Действие по знач. глаг. явиться.,exact
явление,noun,,,"В пьесе: часть акта, в к-рой состав действующих лиц не меняется.","Часть акта, действия (в пьесе), в которой состав действующих лиц не меняется.",exact
явление,noun,,,"В философии: проявление, выражение сущности, то, в чем она обнаруживается.","Внешнее выражение сущности предметов, процессов; непосредственное отражение вещи в чувственном восприятии.",exact
явление,noun,,,Вообще всякое обнаруживаемое проявление чего-н.,"Всякое проявление чего-л., каких-л. сил, процессов и т. п.",exact
явление,noun,,,"Событие, случай.","|| То, что происходит, случается, имеет место в окружающей действительности; событие, факт.",related
явление,noun,,,"Событие, случай.","Событие, факт.",exact
